name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic,ebd_id2022,code
Contopus pertinax,3610,6022,6794,16118,16119:16120,NA,913,4600,NA,28.3,Passeriformes,Tyrannidae,Greater Pewee,NA,7,0,0.53,1,1,0,3,4,0.53,NA,NA,1.6,0.24,0,1,alt,27.2,1,monog,0,05-15,07-05,0,cup,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16469,grepew
Contopus sordidulus,3620,6027,6798,16130,16131:16134,16136;16137,914,4620,NA,33.45,Passeriformes,Tyrannidae,Western Wood-pewee,NA,6,0,0.53,1,1,0,2,4,0.56,NA,NA,NA,0.31,0,1,alt,13.1,1,monog,0,05-01,08-30,0,cup,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0,0,40,30,30,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16489,wewpew
Contopus virens,3630,6028,6799,16135,NA,16136;16137,915,4610,NA,30.92,Passeriformes,Tyrannidae,Eastern Wood-pewee,NA,9,0,0.57,0,1,0,2,4,0.41,NA,NA,2.2,0.3,0,1,alt,13.9,1,monog,0,05-15,09-20,0,cup,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,40,30,30,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16501,eawpew
Empidonax flaviventris,3640,6036,6779,16176,NA,NA,918,4630,4679,24.11,Passeriformes,Tyrannidae,Yellow-bellied Flycatcher,NA,4,0,0.53,1,1,0,3,4,0.7,0.71,0.53,NA,0.26,0,1,alt,11.8,1,monog,0,06-10,07-30,0,cup,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16526,yebfly
Empidonax virescens,3650,6037,6778,16177,NA,NA,919,4650,4679,28.02,Passeriformes,Tyrannidae,Acadian Flycatcher,NA,12,0,0.53,0,1,0,2,4,0.4,0.94,0.53,NA,0.2,0,1.8,alt,12.6,1,monog,0,05-25,08-05,0,cup,0,0,0,0,0,20,20,60,0,0,0,0,0,0,0,0,0,40,30,30,0,0,0,1,0,Invertebrate,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16527,acafly
Empidonax alnorum,3660,6038,6785,16178,NA,16185,920,4661,4665;4679,20.32,Passeriformes,Tyrannidae,Alder Flycatcher,NA,3,0,0.53,1,1,0,3,4,NA,NA,NA,NA,0.25,1,1.5,alt,12.7,1,monog,0,06-10,08-05,0,cup,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,Invertebrate,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16528,aldfly
Empidonax traillii,3670,6040,6784,16179,16180:16184,16185,921,4660,4665;4679,23.54,Passeriformes,Tyrannidae,Willow Flycatcher,NA,11,0,0.53,1,1,0,3,4,0.54,0.73,0.76,1.1,0.3,0,1,alt,13.39,1,monog,0,06-05,08-15,0,cup,0,0,0,0,0,60,30,10,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,16529,wilfly
Empidonax minimus,3680,6042,6789,16190,NA,NA,924,4670,4679,22.82,Passeriformes,Tyrannidae,Least Flycatcher,NA,6,0,0.53,1,1,0,3,6,0.52,0.63,0.53,NA,0.17,0,1,alt,10,2,promisc,0,06-01,08-10,0,cup,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16540,leafly
Empidonax hammondii,3690,6043,6790,16191,NA,16195,925,4680,4689;4679,23.15,Passeriformes,Tyrannidae,Hammond's Flycatcher,NA,8,1,0.53,1,1,0,3,4,0.54,0.49,0.51,NA,0.14,0,1,alt,10.44,1,monog,0,06-01,08-05,0,cup,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,40,30,30,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16541,hamfly
Empidonax wrightii,3700,6044,6788,16192,NA,16194,926,4691,4679,21.27,Passeriformes,Tyrannidae,Grey Flycatcher,NA,8,1,0.53,1,1,0,3,4,NA,0.9,0.28,3,0.25,0,1,alt,12.3,1,monog,0,05-10,08-05,0,cup,0,0,0,0,0,60,20,20,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,16542,gryfly
